ProjID,IndivID,SampleID,NameConvention,Species,CommonName,PCL_cm,FL_cm,TL_cm,Weight_g,Sex,Date,Lat,Long,FishingType,TrawlStation,TrawlName,Person,d13C,d13C_SD,WT%C,WT%C_SD,d15N,d15N_SD,WT%N,WT%N_SD,d34S,d34S_SD,WT%S,WT%S_SD,CN,Tissue,LipidExtraction,UreaExtraction,ExtractionNotes,OtherData,Notes,,Environmental Variables from the trawl
DESG,,07/29/20-1,,Rostroraja eglanteria,Clearnose Skate,,40.5,61.5,,M,7/29/20,38.82624,75.10189,Longline,,,DS,-16.96,,,,15.11,,,,,,,,,Muscle,,,LE,,,,
DESG,,07/29/20-2,,Rostroraja eglanteria,Clearnose Skate,,36.5,58,,M,7/29/20,38.82624,75.10189,Longline,,,DS,-15.43,,,,15.38,,,,,,,,,Muscle,,,LE,,,,
DESG,,07/29/20-3,,Carcharias taurus,Sand Tiger Shark,159,175,211,,F,7/29/20,38.81691,75.09411,Longline,,,DS,-16.68,,,,16.4,,,,,,,,,Muscle,,,LE,,,,
DESG,,07/29/20-4,,Myliobatis freminvillei,Bullnose Ray,,130,,,F,7/29/20,38.81691,75.09411,Longline,,,DS,-15.33,,,,11.34,,,,,,,,,Muscle,,,LE,,,,
DESG,,07/29/20-5,,Carcharhinus plumbeus,Sandbar Shark,42,47,59.5,,M,7/29/20,38.86583,75.1746,Longline,,,DS,-16.12,,,,15.3,,,,,,,,,Muscle,,,LE,,,,
DESG,,07/29/20-6,,Carcharhinus plumbeus,Sandbar Shark,42.5,48,60,,M,7/29/20,38.90247,75.19827,Longline,,,DS,-16.21,,,,14.45,,,,,,,,,Muscle,,,LE,,,,
DESG,,10/7/20-02,,Carcharhinus plumbeus,Sandbar Shark,56,61,76,,F,10/7/20,39.04458,-75.1892,Longline,,,DS,-16.871,,,,14.068,,,,,,,,,RBC,,,,,,,
DESG,,10/7/20-1,,Myliobatis freminvillei,Bullnose Ray,,72,,,M,10/7/20,39.04458,-75.1892,Longline,,,DS,-16.57,,,,12.4,,,,,,,,,Muscle,,,LE,,,,
DESG,,10/7/20-2,,Carcharhinus plumbeus,Sandbar Shark,56,61,76,,F,10/7/20,39.04458,-75.1892,Longline,,,DS,-16.92,,,,15.44,,,,,,,,,Muscle,,,LE,,,,
DESG,,10/7/20-2,,Carcharhinus plumbeus,Sandbar Shark,56,61,76,,F,10/7/20,39.04458,-75.1892,Longline,,,DS,-16.64,,,,15.23,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/14/21-1,,Myliobatis freminvillei,Bullnose Ray,,70,,,M,6/14/21,38.8992,-75.1499,Longline,,,DS,-16.63,,,,12.47,,,,14.13,0.7,0.882,0.01,,Muscle,,,LE,,,,
DESG,,6/14/21-2,,Myliobatis freminvillei,Bullnose Ray,,70.5,,,M,6/14/21,38.8992,-75.1499,Longline,,,DS,-17.22,,,,13.1,,,,14.29,0.67,0.872,0.023,,Muscle,,,LE,,,,
DESG,,6/14/21-3,,Gymnura altavela,Spiny Butterfly Ray,,116,,,M,6/14/21,38.89077,-75.1919,Longline,,,DS,-16.85,,,,15.63,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/14/21-4,,Rostroraja eglanteria,Clearnose Skate,,37,,,M,6/14/21,39.00875,-75.2768,Longline,,,DS,-17.34,,,,14.39,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/14/21-5,,Rostroraja eglanteria,Clearnose Skate,,37,,,F,6/14/21,39.00875,-75.2768,Longline,,,DS,-17.07,,,,13.69,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/27/21-01,,Carcharhinus plumbeus,Sandbar Shark,113,115,137,,F,6/27/21,38.90716,-75.2491,Longline,,,DS,-16.809,,,,15.608,,,,,,,,,RBC,,,,,,,
DESG,,6/27/21-02,,Carcharhinus plumbeus,Sandbar Shark,88,95,118,,M,6/27/21,38.90716,-75.2491,Longline,,,DS,-17.322,,,,15.537,,,,,,,,,RBC,,,,,,,
DESG,,6/27/21-03,,Carcharhinus plumbeus,Sandbar Shark,69,108,123,,M,6/27/21,38.90716,-75.2491,Longline,,,DS,-17.363,,,,15.67,,,,,,,,,RBC,,,,,,,
DESG,,6/27/21-04,,Carcharhinus plumbeus,Sandbar Shark,94,104,121,,M,6/27/21,38.45674,-75.2692,Longline,,,DS,-17.233,,,,15.518,,,,,,,,,RBC,,,,,,,
DESG,,6/27/21-05,,Carcharhinus plumbeus,Sandbar Shark,89,101,120,,M,6/27/21,38.45674,-75.2692,Longline,,,DS,-17.303,,,,15.198,,,,,,,,,RBC,,,,,,,
DESG,,6/27/21-06,,Carcharhinus plumbeus,Sandbar Shark,77,84,101,,M,6/27/21,38.45674,-75.2692,Longline,,,DS,-16.816,,,,13.925,,,,,,,,,RBC,,,,,,,
DESG,,6/27/21-07,,Carcharhinus plumbeus,Sandbar Shark,85,93,106,,M,6/27/21,38.45674,-75.2692,Longline,,,DS,-17.231,,,,15.521,,,,,,,,,RBC,,,,,,,
DESG,,6/27/21-08,,Carcharhinus plumbeus,Sandbar Shark,84,93,109,,F,6/27/21,38.45674,-75.2692,Longline,,,DS,-17.287,,,,15.252,,,,,,,,,RBC,,,,,,,
DESG,,6/27/21-1,,Carcharhinus plumbeus,Sandbar Shark,113,115,137,,F,6/27/21,38.90716,-75.2491,Longline,,,DS,-17.2,,,,16.96,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/27/21-1,,Carcharhinus plumbeus,Sandbar Shark,113,115,137,,F,6/27/21,38.90716,-75.2491,Longline,,,DS,-16.79,,,,15.01,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/27/21-10,,Carcharhinus plumbeus,Sandbar Shark,92,102,120,,M,6/27/21,38.45674,-75.2692,Longline,,,DS,-17.83,,,,16.7,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/27/21-10,,Carcharhinus plumbeus,Sandbar Shark,92,102,120,,M,6/27/21,38.45674,-75.2692,Longline,,,DS,-17.49,,,,13.32,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/27/21-10,,Carcharhinus plumbeus,Sandbar Shark,92,102,120,,M,6/27/21,38.45674,-75.2692,Longline,,,DS,-17.277,,,,15.803,,,,,,,,,RBC,,,,,,,
DESG,,6/27/21-11,,Carcharhinus plumbeus,Sandbar Shark,87,104,119,,M,6/27/21,38.45674,-75.2692,Longline,,,DS,-17.8,,,,15.76,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/27/21-12,,Carcharias taurus,Sand Tiger Shark,176,198,234,,M,6/27/21,38.45674,-75.2692,Longline,,,DS,-16.9,,,,15.55,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/27/21-13,,Carcharhinus obscurus,Dusky Shark,82,91,106,,M,6/27/21,38.96563,-75.1816,Longline,,,DS,-16.54,,,,16.42,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/27/21-14,,Carcharhinus plumbeus,Sandbar Shark,81,89,105,,M,6/27/21,38.96563,-75.1816,Longline,,,DS,-18,,,,16.93,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/27/21-15,,Carcharhinus plumbeus,Sandbar Shark,,,,,,6/27/21,38.96563,-75.1816,Longline,,,DS,-16.31,,,,15.73,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/27/21-16,,Carcharhinus plumbeus,Sandbar Shark,84,93,114,,F,6/27/21,38.96563,-75.1816,Longline,,,DS,-17.28,,,,16.83,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/27/21-16,,Carcharhinus plumbeus,Sandbar Shark,84,93,114,,F,6/27/21,38.96563,-75.1816,Longline,,,DS,-17.35,,,,13.71,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/27/21-16,,Carcharhinus plumbeus,Sandbar Shark,84,93,114,,F,6/27/21,38.96563,-75.1816,Longline,,,DS,-17.113,,,,15.7,,,,,,,,,RBC,,,,,,,
DESG,,6/27/21-17,,Carcharhinus obscurus,Dusky Shark,85,93,,,M,6/27/21,38.96563,-75.1816,Longline,,,DS,-16.56,,,,15.35,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/27/21-2,,Carcharhinus plumbeus,Sandbar Shark,88,95,118,,M,6/27/21,38.90716,-75.2491,Longline,,,DS,-17.71,,,,16.89,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/27/21-2,,Carcharhinus plumbeus,Sandbar Shark,88,95,118,,M,6/27/21,38.90716,-75.2491,Longline,,,DS,-17.22,,,,14.81,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/27/21-3,,Carcharhinus plumbeus,Sandbar Shark,69,108,123,,M,6/27/21,38.90716,-75.2491,Longline,,,DS,-17.24,,,,17.01,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/27/21-3,,Carcharhinus plumbeus,Sandbar Shark,69,108,123,,M,6/27/21,38.90716,-75.2491,Longline,,,DS,-16.84,,,,13.55,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/27/21-4,,Carcharhinus plumbeus,Sandbar Shark,94,104,121,,M,6/27/21,38.45674,-75.2692,Longline,,,DS,-17.36,,,,15.98,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/27/21-4,,Carcharhinus plumbeus,Sandbar Shark,94,104,121,,M,6/27/21,38.45674,-75.2692,Longline,,,DS,-17.32,,,,12.94,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/27/21-5,,Carcharhinus plumbeus,Sandbar Shark,89,101,120,,M,6/27/21,38.45674,-75.2692,Longline,,,DS,-17.84,,,,16.67,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/27/21-5,,Carcharhinus plumbeus,Sandbar Shark,89,101,120,,M,6/27/21,38.45674,-75.2692,Longline,,,DS,-17.63,,,,13.47,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/27/21-6,,Carcharhinus plumbeus,Sandbar Shark,77,84,101,,M,6/27/21,38.45674,-75.2692,Longline,,,DS,-17.92,,,,17.41,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/27/21-6,,Carcharhinus plumbeus,Sandbar Shark,77,84,101,,M,6/27/21,38.45674,-75.2692,Longline,,,DS,-17.06,,,,13.59,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/27/21-7,,Carcharhinus plumbeus,Sandbar Shark,85,93,106,,M,6/27/21,38.45674,-75.2692,Longline,,,DS,-17.29,,,,15.52,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/27/21-7,,Carcharhinus plumbeus,Sandbar Shark,85,93,106,,M,6/27/21,38.45674,-75.2692,Longline,,,DS,-17.03,,,,12.92,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/27/21-8,,Carcharhinus plumbeus,Sandbar Shark,84,93,109,,F,6/27/21,38.45674,-75.2692,Longline,,,DS,-17.68,,,,16.69,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/27/21-8,,Carcharhinus plumbeus,Sandbar Shark,84,93,109,,F,6/27/21,38.45674,-75.2692,Longline,,,DS,-17.61,,,,13.21,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/27/21-9,,Carcharhinus plumbeus,Sandbar Shark,42,45,55,,F,6/27/21,38.45674,-75.2692,Longline,,,DS,-16.07,,,,16.85,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/8/21-01,,Carcharhinus plumbeus,Sandbar Shark,42,45.5,55,,M,6/8/21,38.8815,-75.2521,Longline,,,DS,-17.225,,,,15.526,,,,,,,,,RBC,,,,,,,
DESG,,6/8/21-02,,Carcharhinus plumbeus,Sandbar Shark,80.8,90.3,108,,F,6/8/21,38.8815,-75.2521,Longline,,,DS,-17.08,,,,15.493,,,,,,,,,RBC,,,,,,,
DESG,,6/8/21-03,,Carcharhinus plumbeus,Sandbar Shark,82.6,92.7,112,,F,6/8/21,38.8815,-75.2521,Longline,,,DS,-16.772,,,,13.297,,,,,,,,,RBC,,,,,,,
DESG,,6/8/21-04,,Carcharhinus plumbeus,Sandbar Shark,77.5,87,107,,F,6/8/21,38.8815,-75.2521,Longline,,,DS,-17.056,,,,15.958,,,,,,,,,RBC,,,,,,,
DESG,,6/8/21-05,,Carcharhinus plumbeus,Sandbar Shark,83.5,94.5,115,,F,6/8/21,38.8815,-75.2521,Longline,,,DS,-16.968,,,,15.672,,,,,,,,,RBC,,,,,,,
