"","ProjID","IndivID","SampleID","NameConvention","Species","CommonName","PCL_cm","FL_cm","TL_cm","Weight_g","Sex","Date","Lat","Long","FishingType","TrawlStation","TrawlName","Person","d13C","d13C_SD","WT.C","WT.C_SD","d15N","d15N_SD","WT.N","WT.N_SD","d34S","d34S_SD","WT.S","WT.S_SD","CN","Tissue","LipidExtraction","UreaExtraction","ExtractionNotes","OtherData","Notes","X","Environmental.Variables.from.the.trawl","CommonNameTissue","meand13C","sdd13C","meand15N","sdd15N","kmeans"
"1","DESG","","CS-2020-01",NA,"Callinectes sapidus","Blue Crab",NA,"",5.3,7.36,"","8/20/20",39.121233,-75.261683,"Trawl","41","DNREC","DS",-16.394,NA,NA,NA,12.393,NA,NA,NA,NA,NA,NA,NA,2.955,"","","","LE","","",NA,NA,"Blue Crab",-17.86870506375,1.27481042911917,13.8458914845,1.05970010833205,4
"2","DESG","","CS-2020-02",NA,"Callinectes sapidus","Blue Crab",NA,"",6.1,11.37,"","8/20/20",39.121233,-75.261683,"Trawl","41","DNREC","DS",-16.15,NA,NA,NA,12.69,NA,NA,NA,NA,NA,NA,NA,3.764,"","","","LE","","",NA,NA,"Blue Crab",-17.86870506375,1.27481042911917,13.8458914845,1.05970010833205,4
"3","DESG","","CS-2020-03",NA,"Callinectes sapidus","Blue Crab",NA,"",5.8,10.2,"","8/20/20",39.121233,-75.261683,"Trawl","41","DNREC","DS",-16.15,NA,NA,NA,13.6,NA,NA,NA,NA,NA,NA,NA,NA,"","","","LE","","",NA,NA,"Blue Crab",-17.86870506375,1.27481042911917,13.8458914845,1.05970010833205,4
"4","DESG","","CS-2020-04",NA,"Callinectes sapidus","Blue Crab",NA,"",5.5,7.64,"","8/20/20",39.121233,-75.261683,"Trawl","41","DNREC","DS",-16.835,NA,NA,NA,13.503,NA,NA,NA,NA,NA,NA,NA,3.236,"","","","LE","","",NA,NA,"Blue Crab",-17.86870506375,1.27481042911917,13.8458914845,1.05970010833205,4
"5","DESG","","OC-2020-1",NA,"Ovalipes ocellatus","Lady Crab",NA,"",6.4,37.39,"","8/19/20",38.9378,-75.127983,"Trawl","62","DNREC","DS",-16.434,NA,NA,NA,12.264,NA,NA,NA,14.87,0.38,1.13,0.017,3.131,"","","","LE","","",NA,NA,"Lady Crab",-17.01889162625,0.785165507172627,12.4631694925,0.39643425536616,1
"6","DESG","","OC-2020-2",NA,"Ovalipes ocellatus","Lady Crab",NA,"",6.2,32.51,"","8/19/20",38.9378,-75.127983,"Trawl","62","DNREC","DS",-16.116,NA,NA,NA,12.463,NA,NA,NA,NA,NA,NA,NA,3.104,"","","","LE","","",NA,NA,"Lady Crab",-17.01889162625,0.785165507172627,12.4631694925,0.39643425536616,1
"7","DESG","","OC-2020-3",NA,"Ovalipes ocellatus","Lady Crab",NA,"",4.5,15.22,"","8/19/20",38.9378,-75.127983,"Trawl","62","DNREC","DS",-16.454,NA,NA,NA,12.543,NA,NA,NA,NA,NA,NA,NA,3.105,"","","","LE","","",NA,NA,"Lady Crab",-17.01889162625,0.785165507172627,12.4631694925,0.39643425536616,1
"8","DESG","","OC-2020-4",NA,"Ovalipes ocellatus","Lady Crab",NA,"",8.1,75.47,"","8/19/20",38.9378,-75.127983,"Trawl","62","DNREC","DS",-16.87,NA,NA,NA,12.511,NA,NA,NA,NA,NA,NA,NA,2.926,"","","","LE","","",NA,NA,"Lady Crab",-17.01889162625,0.785165507172627,12.4631694925,0.39643425536616,1
"9","DESG","","OC-2020-5",NA,"Ovalipes ocellatus","Lady Crab",NA,"",5.9,36.52,"","8/19/20",38.9378,-75.127983,"Trawl","62","DNREC","DS",-17.654,NA,NA,NA,11.931,NA,NA,NA,NA,NA,NA,NA,3.017,"","","","LE","","",NA,NA,"Lady Crab",-17.01889162625,0.785165507172627,12.4631694925,0.39643425536616,1
"10","DESG","","OC-2020-6",NA,"Ovalipes ocellatus","Lady Crab",NA,"",5.6,20.86,"","8/19/20",38.9378,-75.127983,"Trawl","62","DNREC","DS",-18.709,NA,NA,NA,12.267,NA,NA,NA,NA,NA,NA,NA,3.528,"","","","LE","","",NA,NA,"Lady Crab",-17.01889162625,0.785165507172627,12.4631694925,0.39643425536616,1
"11","DESG","","OC-2020-7",NA,"Ovalipes ocellatus","Lady Crab",NA,"",4.8,18.27,"","8/19/20",38.9378,-75.127983,"Trawl","62","DNREC","DS",-17.324,NA,NA,NA,12.254,NA,NA,NA,NA,NA,NA,NA,3.169,"","","","LE","","",NA,NA,"Lady Crab",-17.01889162625,0.785165507172627,12.4631694925,0.39643425536616,1
"12","DESG","","OC-2021-1",NA,"Ovalipes ocellatus","Lady Crab",NA,"",4.5,15.24,"","6/14/21",38.9362833,-75.1278833,"Trawl","62","DNREC","DS",-16.06,NA,NA,NA,12.808,NA,NA,NA,NA,NA,NA,NA,3.041,"","","","LE","","",NA,NA,"Lady Crab",-17.01889162625,0.785165507172627,12.4631694925,0.39643425536616,1
"13","DESG","","OC-2021-2",NA,"Ovalipes ocellatus","Lady Crab",NA,"",4.7,20.69,"","6/14/21",38.9362833,-75.1278833,"Trawl","62","DNREC","DS",-16.211,NA,NA,NA,13.3,NA,NA,NA,NA,NA,NA,NA,3.153,"","","","LE","","",NA,NA,"Lady Crab",-17.01889162625,0.785165507172627,12.4631694925,0.39643425536616,1
"14","DESG","","OC-2021-3",NA,"Ovalipes ocellatus","Lady Crab",NA,"",5,27.54,"","6/14/21",38.9362833,-75.1278833,"Trawl","62","DNREC","DS",-16.601,NA,NA,NA,12.63,NA,NA,NA,NA,NA,NA,NA,3.083,"","","","LE","","",NA,NA,"Lady Crab",-17.01889162625,0.785165507172627,12.4631694925,0.39643425536616,1
"15","DESG","","OC-2021-4",NA,"Ovalipes ocellatus","Lady Crab",NA,"",6.1,46.74,"","6/14/21",38.9362833,-75.1278833,"Trawl","62","DNREC","DS",-16.266,NA,NA,NA,13.032,NA,NA,NA,NA,NA,NA,NA,3.22,"","","","LE","","",NA,NA,"Lady Crab",-17.01889162625,0.785165507172627,12.4631694925,0.39643425536616,1
"16","DESG","","OC-2021-5",NA,"Ovalipes ocellatus","Lady Crab",NA,"",4.5,19.81,"","6/14/21",38.9362833,-75.1278833,"Trawl","62","DNREC","DS",-16.771,NA,NA,NA,12.768,NA,NA,NA,NA,NA,NA,NA,3.076,"","","","LE","","",NA,NA,"Lady Crab",-17.01889162625,0.785165507172627,12.4631694925,0.39643425536616,1
"17","DESG","","OT-2020-1",NA,"Opsanus tau","Oyster Toadfish",NA,"",17.2,87.4,"","8/20/20",39.28485,-75.37075,"Trawl","21","DNREC","DS",-17.685,NA,NA,NA,16.151,NA,NA,NA,NA,NA,NA,NA,3.117,"","","","LE","","",NA,NA,"Oyster Toadfish",-17.6655,0.321605814624052,15.9298333333333,0.472121347395632,4
"18","DESG","","OT-2020-2",NA,"Opsanus tau","Oyster Toadfish",NA,"",17.9,99.14,"","8/20/20",39.28485,-75.37075,"Trawl","21","DNREC","DS",-17.807,NA,NA,NA,16.402,NA,NA,NA,NA,NA,NA,NA,3.069,"","","","LE","","",NA,NA,"Oyster Toadfish",-17.6655,0.321605814624052,15.9298333333333,0.472121347395632,4
"19","DESG","","OT-2020-3",NA,"Opsanus tau","Oyster Toadfish",NA,"",12.9,33.18,"","8/20/20",39.28485,-75.37075,"Trawl","21","DNREC","DS",-17.247,NA,NA,NA,15.056,NA,NA,NA,NA,NA,NA,NA,3.052,"","","","LE","","",NA,NA,"Oyster Toadfish",-17.6655,0.321605814624052,15.9298333333333,0.472121347395632,4
"20","DESG","","OT-2020-4",NA,"Opsanus tau","Oyster Toadfish",NA,"",17.9,100.1,"","8/20/20",39.28485,-75.37075,"Trawl","21","DNREC","DS",-17.395,NA,NA,NA,15.954,NA,NA,NA,NA,NA,NA,NA,3.027,"","","","LE","","",NA,NA,"Oyster Toadfish",-17.6655,0.321605814624052,15.9298333333333,0.472121347395632,4
"21","DESG","","OT-2020-5",NA,"Opsanus tau","Oyster Toadfish",NA,"",16.8,79.49,"","8/20/20",39.28485,-75.37075,"Trawl","21","DNREC","DS",-18.163,NA,NA,NA,16.19,NA,NA,NA,NA,NA,NA,NA,3.107,"","","","LE","","",NA,NA,"Oyster Toadfish",-17.6655,0.321605814624052,15.9298333333333,0.472121347395632,4
"22","DESG","","OT-2020-6",NA,"Opsanus tau","Oyster Toadfish",NA,"",15.1,64.7,"","8/20/20",39.28485,-75.37075,"Trawl","21","DNREC","DS",-17.696,NA,NA,NA,15.826,NA,NA,NA,NA,NA,NA,NA,3.056,"","","","LE","","",NA,NA,"Oyster Toadfish",-17.6655,0.321605814624052,15.9298333333333,0.472121347395632,4
"23","DESG","","PA-2020-1",NA,"Pseudopleuronectes americanus","Winter Flounder",NA,"",12,20.82,"","8/19/20",38.875633,-75.169883,"Trawl","71","DNREC","DS",-15.536,NA,NA,NA,13.581,NA,NA,NA,NA,NA,NA,NA,3.058,"","","","LE","","",NA,NA,"Winter Flounder",-15.536,NA,13.581,NA,3
"24","DESG","","PL-2020-1",NA,"Pagurus longicarpus","Long-clawed Hermit Crab",NA,"",5.6,1.59,"","8/19/20",38.9378,-75.127983,"Trawl","62","DNREC","DS",-17.786,NA,NA,NA,10.977,NA,NA,NA,NA,NA,NA,NA,3.305,"","","","LE","","",NA,NA,"Long-clawed Hermit Crab",-16.6133161464706,0.718452593364384,11.842859219,0.965767263870509,1
"25","DESG","","PL-2020-2",NA,"Pagurus longicarpus","Long-clawed Hermit Crab",NA,"",6.3,1.9,"","8/19/20",38.9378,-75.127983,"Trawl","62","DNREC","DS",-16.961,NA,NA,NA,12.308,NA,NA,NA,NA,NA,NA,NA,3.119,"","","","LE","","",NA,NA,"Long-clawed Hermit Crab",-16.6133161464706,0.718452593364384,11.842859219,0.965767263870509,1
"26","DESG","","PP-2020-1",NA,"Pagurus pollicaris","Broad-clawed Hermit Crab",NA,"",8.4,8.08,"","8/19/20",38.9378,-75.127983,"Trawl","62","DNREC","DS",-17.986,NA,NA,NA,9.173,NA,NA,NA,NA,NA,NA,NA,3.681,"","","","LE","","",NA,NA,"Broad-clawed Hermit Crab",-17.1053098907692,0.92518548344755,11.8352671115385,1.64763039025059,1
"27","DESG","","PP-2020-2",NA,"Pagurus pollicaris","Broad-clawed Hermit Crab",NA,"",8.7,8.14,"","8/19/20",38.9378,-75.127983,"Trawl","62","DNREC","DS",-17.874,NA,NA,NA,9.173,NA,NA,NA,NA,NA,NA,NA,3.767,"","","","LE","","",NA,NA,"Broad-clawed Hermit Crab",-17.1053098907692,0.92518548344755,11.8352671115385,1.64763039025059,1
"28","DESG","","PP-2020-3",NA,"Pagurus pollicaris","Broad-clawed Hermit Crab",NA,"",5.1,2.56,"","8/19/20",38.9378,-75.127983,"Trawl","62","DNREC","DS",-17.11,NA,NA,NA,11.7,NA,NA,NA,NA,NA,NA,NA,3.711,"","","","LE","","",NA,NA,"Broad-clawed Hermit Crab",-17.1053098907692,0.92518548344755,11.8352671115385,1.64763039025059,1
"29","DESG","","PP-2020-4",NA,"Pagurus pollicaris","Broad-clawed Hermit Crab",NA,"",6,3.23,"","8/19/20",38.9378,-75.127983,"Trawl","62","DNREC","DS",-18.085,NA,NA,NA,10.873,NA,NA,NA,NA,NA,NA,NA,3.455,"","","","LE","","",NA,NA,"Broad-clawed Hermit Crab",-17.1053098907692,0.92518548344755,11.8352671115385,1.64763039025059,1
"30","DESG","","SA-2020-1",NA,"Scophthalmus aquosus","Windowpane Flounder",NA,"",17.9,67.41,"","10/7/20",38.936917,-75.126483,"Trawl","62","DNREC","DS",-16.71,NA,NA,NA,16.03,NA,NA,NA,NA,NA,NA,NA,3.459,"","","","LE","","",NA,NA,"Windowpane Flounder",-15.8838,0.5534818876892,15.7504,0.279947852286814,4
"31","DESG","","SA-2020-2",NA,"Scophthalmus aquosus","Windowpane Flounder",NA,"",17.1,69.96,"","10/7/20",38.936917,-75.126483,"Trawl","62","DNREC","DS",-15.8,NA,NA,NA,15.8,NA,NA,NA,NA,NA,NA,NA,3.452,"","","","LE","","",NA,NA,"Windowpane Flounder",-15.8838,0.5534818876892,15.7504,0.279947852286814,4
