,CommonName,WhelkDiet
1,Clearnose Skate,N
2,Sand Tiger Shark,N
3,Bullnose Ray,N
4,Sandbar Shark,N
5,Spiny Butterfly Ray,N
6,Dusky Shark,N
7,Spinner Shark,N
8,Atlantic Sharpnose Shark,N
9,Cownose Ray,N
10,Bluntnose Ray,N
11,Striped Anchovy,N
12,Hickory Shad,N
13,Bay Anchovy,N
14,Atlantic Menhaden,N
15,Blue Runner,N
16,Weakfish,N
17,Blue Crab,Y
18,Longfin Squid,N
19,Smallmouth Flounder,N
20,Brief Squid,N
21,Spot,N
22,Smooth Dogfish,N
23,Northern Kingfish,N
24,Striped Bass,N
25,Atlantic Croaker,N
26,Lady Crab,Y
27,Oyster Toadfish,Y
28,Winter Flounder,Y
29,Northern Searobin,N
30,Summer Flounder,N
31,Striped Searobin,N
32,Long-clawed Hermit Crab,Y
33,Broad-clawed Hermit Crab,Y
34,Butterfish,N
35,Windowpane Flounder,Y
36,Scup,N
37,Spanish Mackeral,N
38,Hogchoker,Y
39,Spotted Hake,N
40,Anchovy,N
41,Silver Perch,N
42,Black Sea Bass,N
43,Sheepshead Minnow,N
44,Mummichog,N
45,Striped Killifish,N
46,Naked Goby,Y
47,Skilletfish,Y
48,Feather Blenny,N
49,Mud Snail,Y
50,Gray Snapper,N
51,White Mullet,N
52,Silverside,N
53,Dune Grass,N
54,Sea lettuce,Y
55,Pigfish,N
56,Striped Cusk Eel,Y
57,Black Drum,N
58,Mud Crab,Y
59,Hermit Crab,Y
60,Grass Shrimp,Y
61,Northern Pipefish,N
62,Cunner,N
63,Tautog,N
64,Yellowfin tuna,N
65,Dorado,N
66,Bigeye tuna,N
67,Yellowtail,N
68,Bluefin Tuna,N
69,Eastern Oyster,Y
70,Red Algae,Y
71,Green Algae,Y
72,Ulva,Y
73,Knobbed Whelk,Y
74,Shrimp,Y
75,Smooth Whelk,Y
76,Oyster,Y
77,Spider Crab,Y
78,Animal Grass,Y
79,Limpet,Y
80,Moon Snail,Y
81,Bloodworm,Y
82,Mantis Shrimp,Y
83,Soft Shell Clam,Y
84,Horseshoe Crab,Y
85,Razor Clam,Y
86,Sandworm,Y
87,Oyster Drill,Y
88,Barnacle,Y
89,Ribbed Mussel,Y
90,Sea Grapes,Y
91,Wormtube,Y
92,Quahog,Y
93,American Eel,N
94,Bluefish,N
95,Blackcheek Tonguefish,Y
96,,N
97,Atlantic Cutlassfish,N
98,Zooplankton,N
99,Spinner shark,N
100,Dusky shark,N
101,Sandbar shark,N
102,Sand tiger shark,N
103,Smooth dogfish,N
104,Atlantic sharpnose shark,N
105,Scalloped hammerhead,N
106,Blacktip shark,N
107,Tiger shark,N
108,Bullnose ray,N
109,Clearnose skate,N
110,Roughtail stingray,N
111,Barndoor skate,N
112,Spiny butterfly ray,N
113,Southern stingray,N
114,Winter skate,N
115,Atlantic croaker,N
116,Sea robin,N
117,Red drum,N
118,Spanish mackerel,N
119,Atlantic cuttlassfish,N
120,Pink shrimp,Y
121,Mantis shrimp,Y
122,Smooth whelk,Y
123,Spider crab,Y
124,Knobbed whelk,Y
125,Broad-clawed hermit,Y
